-70.8097 -69.1567 40.9436 41.8688 4.9842e+08 8.33634e+07 1.75467e+06 1.05237e+06 527886 91939.2 670666 2476.59 165953 1.10805e+06 3.20516e+07 1.01388e+06 285.831 3.00419e+07 43127.3 18.7392 43997.5 15084.8 1.48105e+08 169
-69.2956 -69.1503 39.7005 41.5133 194318 71422.7 317.85 1221 6 380 0 -nan 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39433 47
-69.9926 -68.6525 41.6337 43.5795 1.31053e+07 4.97596e+06 26768.2 16368.2 28722.3 2268 30707.5 239.337 3270 -nan -nan -nan -nan -nan -nan -nan -nan -nan 6.32216e+06 75
-69.3665 -69.0621 41.5621 43.2858 185515 68762 347.473 1666.48 0 372 100 67 143 -nan -nan -nan -nan -nan -nan -nan -nan -nan 42120 1
-68.7056 -66.7724 40.9757 42.0377 181327 67244 334.455 1461.09 0 374 7 57 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 38263 52
-69.2267 -68.5991 40.4178 42.0006 179596 66512.6 323.36 1469.42 0 369 4 57 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 38628 68
-69.1962 -68.3167 41.4687 41.6124 181772 67475.7 332.195 1462.49 0 367 4 67 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39794 7
-68.6048 -67.7059 41.4161 41.8455 181491 67007.4 357.184 1608.07 0 366 5 56 48 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39237 8
-67.724 -66.2339 41.4383 41.6965 179871 66697.8 295.751 1407.11 0 356 5 56 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 38371 7
-68.2604 -66.5942 39.6396 41.5772 179555 66557.2 347.462 1454.37 0 356 5 78 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 38465 86
-70.3911 -69.2085 41.8955 42.0946 1.31767e+07 4.84975e+06 23476.1 113964 0 1720.38 29115 126 6344.86 50782.2 1.60954e+06 -nan -nan -nan -nan -nan -nan -nan 6.71781e+06 52
-70.9084 -69.3733 41.9695 43.508 3.29878e+08 4.23397e+07 921616 10034.4 418143 10805.5 393820 628.072 29270.7 645472 1.91744e+07 443278 55.2342 2.21982e+07 36668.9 5.96039 28081.3 9561.53 9.74746e+07 83
-69.0433 -67.4193 41.4769 41.8203 174758 63408.4 336.564 1286.27 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 5 0 -nan -nan 38404 5
-69.0213 -68.7915 41.2639 42.6287 173662 63786.1 313.671 1278.87 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 38764 6
-69.8285 -68.2872 41.5595 43.0962 171485 63036.3 308.604 1260.95 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 37588 136
-69.22 -67.9113 41.6247 42.8904 172230 63364.1 312.891 1292.66 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 37983 6
-68.7267 -68.3429 41.6896 43.0806 175775 64681 294.114 1313.59 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 39957 10
-69.1249 -67.6776 41.2085 42.4465 176553 64941.9 316.844 1317.31 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 40352 12
-69.9133 -69.2745 40.6815 41.5224 170962 62814.2 315.287 1300.24 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 37164 6
-69.0839 -68.465 40.5952 41.9122 172329 63436.2 306.644 1258.68 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 0 -nan -nan 38169 6
-68.4635 -67.7464 41.7499 43.1915 172628 63556.4 328.254 1284.02 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 5 0 -nan -nan 38244 6
-70.5148 -68.7568 40.684 41.4041 2.65976e+07 3.74917e+06 84451.2 112793 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan 8478.98 0 1985.21 1180.37 7.91644e+06 70
-67.824 -66.1448 42.0575 42.0578 210542 73875 846 1357.43 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 5 5 47124 10
-69.6846 -68.775 40.6986 41.9198 194682 73883 677 1353.46 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 3 43794 8
-68.5011 -67.6865 40.0061 41.4521 181072 73880 679 1301.14 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 3 39802 5
-67.8504 -66.0322 41.0319 42.3449 191667 73843 659 1306.6 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4 2 42925 8
