3436 3484 88565 88600 3.86174e+07 1.60383e+07 353402 10981 177249 7275.46 162699 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.14989e+07 
6128 6166 89983 90083 4.22274e+08 1.33567e+07 361022 10102.5 171242 6312.18 170476 404.281 48051.5 391677 7.70447e+06 204356 27.2734 5.55192e+06 46354 0 45782.4 40337.6 1.24668e+08 
7393 7473 87255 87351 3.65686e+08 1.41765e+07 339419 12516.1 156711 6645.64 154665 267.684 32281.3 322774 5.11727e+06 182606 6.74729 5.07715e+06 42790.9 0 42027.7 38323.5 1.07936e+08 
8260 8326 82449 82521 3.28891e+08 1.07931e+07 288076 8002.12 138233 4708.26 139365 97.1677 28076 300793 6.01357e+06 173944 31.6591 4.39795e+06 35578.8 29.3614 36218.5 32077.8 9.71257e+07 
4728 4788 85093 85189 3.7771e+08 1.23431e+07 331309 10806.8 154981 5216.82 153031 264.931 32017.1 319683 5.05238e+06 180381 34.8841 7.85668e+06 44137.4 0 43132.7 38227.6 1.11625e+08 
5834 5916 82630 82692 3.43908e+08 1.12795e+07 361613 12482.1 163381 10355.2 147462 101.534 30998 298754 4.75337e+06 167682 269.867 4.5946e+06 38994.8 0 38434.2 33452.7 1.01507e+08 
3319 3387 86327 86424 4.089e+08 1.34107e+07 357322 10070.9 164397 6213.32 160593 191.931 34959.4 350526 5.51161e+06 230282 49.153 7.65002e+06 45621.7 3.77414 45821.6 40087.4 1.20769e+08 
2324 2354 89227 89322 4.5037e+08 1.46057e+07 393053 9705.64 186713 6283.88 184144 544.369 52957.7 418585 8.35733e+06 219117 29.0916 6.00579e+06 51127.3 0 49341.3 43625.9 1.32978e+08 
7331 7388 83034 83101 3.41984e+08 1.1183e+07 297418 11490.9 140189 5118.08 137812 101.03 28493.6 288408 4.54919e+06 179930 21.017 5.90687e+06 37468.2 15.7846 37952 32925.8 1.00991e+08 
4974 5056 85365 85413 3.81855e+08 2.06684e+07 374513 13373.8 173834 6942.12 158186 179.705 33476.4 325062 5.17828e+06 183431 226.974 5.12261e+06 41300.8 7.04519 46009.8 36939.8 1.12722e+08 
1976 2037 79948 80036 3.59502e+08 1.17834e+07 315191 9756.91 148708 5126.33 144935 126.116 29426.9 296336 7.22581e+06 193082 61.1958 6.34331e+06 39821.6 0 40369.7 35370.4 1.06163e+08 
8056 8083 87703 87796 3.74752e+08 2.22919e+07 378838 17553.1 171624 10651.7 155112 114.094 33510.2 316186 5.06497e+06 178291 236.333 5.11008e+06 41928.3 0 40078.3 36529 1.10589e+08 
8868 8952 80749 80769 3.08799e+08 9.71442e+06 265007 9283.31 127360 5292.64 124856 91.3886 25494.4 260864 4.13921e+06 148701 11.4207 4.10936e+06 34576 0 32620.1 30132.7 9.13491e+07 
5491 5554 84351 84434 3.71372e+08 1.19537e+07 322028 12246 153760 5320.42 150598 109.713 30969 350907 7.21257e+06 202034 44.6066 4.95881e+06 40812.3 0 41285 36059.7 1.09676e+08 
9763 9843 83431 83492 3.27613e+08 1.08028e+07 283653 12941.1 153419 9532.11 149470 93.7308 27914.1 275480 4.35055e+06 155076 234.426 4.23835e+06 36409.6 0 36683.4 31609.9 9.67259e+07 
1004 1100 87587 87620 4.49378e+08 1.43087e+07 425160 19596.9 209293 13303.1 197847 132.687 38545 377309 5.80749e+06 212039 186.642 5.90544e+06 50506.9 4.14659 50482.6 44798.6 1.32649e+08 
7779 7797 86112 86183 3.59956e+08 1.88477e+07 353672 11772.4 164418 6347.79 149233 106.287 30912.6 310214 4.92334e+06 176752 26.5683 4.86723e+06 41303.2 0 44704 36904.8 1.06258e+08 
5558 5561 84083 84153 3.62909e+08 1.20649e+07 321145 10536.7 149256 4550.93 148117 107.205 35568.8 349907 6.7835e+06 194517 26.794 4.90085e+06 40762.5 0 40832.7 36596.2 1.07158e+08 
3410 3455 86003 86093 3.95444e+08 1.3003e+07 348092 10589.2 166805 6636.53 168032 120.424 35261 340079 5.41631e+06 190231 275.885 5.28319e+06 45534.4 0 43529.5 40412.3 1.16736e+08 
5208 5222 86725 86798 3.91492e+08 1.27765e+07 342579 11535.9 160171 5469.59 156425 130.147 33214.9 328700 7.97201e+06 221576 12.4035 7.01425e+06 44019.7 0 42685.5 38712.1 1.15638e+08 
2255 2261 87165 87199 4.26589e+08 1.37827e+07 373780 10452.2 176966 7024.61 179488 126.164 38181.2 357498 5.60794e+06 199063 318.109 5.61869e+06 50921.7 0 47623.2 41990.4 1.26126e+08 
5169 5222 85332 85347 3.78642e+08 1.24425e+07 333203 9926.12 158101 5531.53 155807 166.843 32675.4 323343 4.97813e+06 176253 34.9997 4.9959e+06 41222.4 0 43019.2 38175.1 1.11983e+08 
8752 8810 84773 84810 3.43204e+08 1.08192e+07 290583 7883.65 144252 12884.7 174442 320.181 37095.1 296369 4.51033e+06 161298 12.6718 4.61535e+06 38661.5 49.4698 37105.3 34003.3 1.0136e+08 
3531 3556 86745 86746 4.14464e+08 1.29128e+07 348853 10952.4 169700 6586.59 170792 126.356 35857.9 345245 5.50172e+06 196704 0 8.81964e+06 46536.9 0 45073.4 40419.7 1.22498e+08 
7639 7694 85716 85725 3.64219e+08 1.14933e+07 311171 8981.66 147823 5406.43 148039 164.207 30957.6 316408 4.9173e+06 175585 20.1935 4.77843e+06 41274.9 0 38674.9 35662.1 1.07692e+08 
8024 8051 80048 80111 3.08635e+08 1.01376e+07 272105 8462.34 130028 4495.84 126986 96.8832 25706.1 289803 5.79453e+06 165171 18.4771 4.12352e+06 34505.3 29.5836 33134.1 29962.4 9.11475e+07 
8916 8940 89315 89371 3.8118e+08 1.26379e+07 342266 10570.2 161437 5954.61 150775 112.602 32503.8 315782 8.04387e+06 212706 45.9715 6.95411e+06 41778 0 42727.5 36625.7 1.12564e+08 
8910 8931 87154 87214 3.61223e+08 1.17732e+07 377628 11576.1 171945 10127.9 156716 106.65 32884.8 310868 4.82863e+06 175384 205.474 4.74471e+06 38363.1 0 40605.6 37129.2 1.06615e+08 
8469 8531 86691 86791 3.65497e+08 2.16821e+07 367389 13775.6 168765 9764.03 149647 111.297 31359.5 301829 4.89404e+06 174334 192.773 4.78327e+06 40242.4 0 42240.1 37249.8 1.07889e+08 
7414 7435 84684 84696 3.44503e+08 1.86558e+07 357913 12981.1 163794 11022.7 147636 104.908 30016.3 296730 4.6933e+06 168050 271.258 4.63337e+06 38281.3 0 39346 34657.7 1.01695e+08 
9002 9081 89868 89945 3.94991e+08 1.26273e+07 337376 10715.7 155196 5364.2 158210 417.676 42243.4 322874 7.22479e+06 207886 36.4475 5.24265e+06 42979.9 0 42928.9 38655.1 1.16624e+08 
424 506 81302 81399 3.90021e+08 1.24315e+07 335234 9990 160106 5591.77 160911 180.885 31575.1 329702 5.01568e+06 177608 14.4232 4.99629e+06 42473 0 42882.8 37806.7 1.15375e+08 
2898 2972 87631 87660 4.22597e+08 1.36531e+07 368955 11362.9 173019 5392.12 173213 474.44 45368 359030 8.12718e+06 225591 46.8334 5.60833e+06 47235.5 0 46464.7 41688 1.24794e+08 
5446 5517 83935 84024 3.62266e+08 1.20024e+07 319144 13206.7 173167 12643.3 171733 117.024 31607.9 316037 4.83044e+06 170003 165.048 4.72009e+06 40360.4 0 41209.4 37739.4 1.06961e+08 
3510 3522 88293 88312 4.25714e+08 1.36446e+07 367947 9658.67 176573 7159.79 174803 204.788 36580.7 366493 5.77e+06 226011 28.471 7.70618e+06 46903.2 0 44591.7 40020.1 1.25897e+08 
2777 2829 81063 81151 3.68616e+08 1.14413e+07 312593 10056.1 148965 5925.73 148649 251.594 32026.1 306882 5.0039e+06 170548 20.405 4.62075e+06 40456 0 37936 34205.8 1.08803e+08 
7017 7033 79944 80025 3.19727e+08 1.00454e+07 273049 11398.7 133294 6412.9 135329 94.4101 26388.6 273620 4.17094e+06 146128 15.9753 5.84531e+06 35772.7 0 34600.5 31225 9.43672e+07 
3496 3536 86413 86474 4.09784e+08 2.21667e+07 396830 15550.5 182796 7085.75 166993 117.194 35419.6 346525 5.52109e+06 189751 194.533 5.25925e+06 45222.7 0 46894.4 39614.5 1.20936e+08 
1800 1836 82227 82326 3.82255e+08 1.23266e+07 334837 13131.4 158246 4918.05 156429 371.392 39256.9 352707 6.63653e+06 185798 24.6949 5.14846e+06 42839.6 0 40019.8 36471.4 1.12874e+08 
1657 1673 82529 82564 3.79778e+08 1.2474e+07 338171 12298.1 157738 5754.9 149997 112.333 33066.2 314954 8.02446e+06 205489 85.7172 5.1424e+06 43855.2 0 42252 38379.1 1.12285e+08 
