-73.3611 -72.3797 40.7206 41.8037 1.46079e+07 5.52483e+06 31417.4 134388 32194.7 1899 32715 75 1022.44 -nan -nan -nan -nan -nan -nan -nan -nan -nan 7.41323e+06 50
-73.0934 -72.6642 39.3893 40.5988 176184 64791.6 338.608 1387.29 0 -nan 6 64 47 12 -nan -nan -nan -nan -nan -nan -nan -nan 38838 7
-72.8599 -72.755 40.3093 41.8252 229969 85128.6 449.092 2037.08 0 -nan 160 65 93 320 -nan -nan -nan -nan -nan -nan -nan -nan 63101 55
-72.0649 -71.6963 40.4982 41.5873 243512 88257.3 770.216 1960.25 0 -nan 257 64 207 455 -nan -nan -nan -nan -nan -nan -nan -nan 79933 67
-72.5576 -71.1738 40.7909 41.8322 1.08187e+07 4.04295e+06 37694.3 93447.8 0 -nan 32086 115 3659 48353 1.21163e+06 -nan -nan -nan -nan -nan -nan -nan 6.12857e+06 22
-72.5919 -72.159 39.1816 40.872 212361 77130.1 619.652 1727.45 8.72672 -nan -nan 64 191 456 27258 -nan -nan -nan -nan -nan -nan -nan 63712 130
-73.4352 -71.517 40.5434 41.2074 8.11671e+06 3.05798e+06 17325.5 71297 0 -nan -nan 391.846 1797 33316 1.04889e+06 22960.7 -nan -nan -nan -nan -nan -nan 4.39438e+06 33
-73.0003 -71.4645 40.1186 41.808 424329 154222 1224.71 3463.71 12.8942 -nan -nan -nan 123.968 2176 85024 1287 1 -nan -nan -nan -nan -nan 182543 7
-72.8283 -71.5827 41.0542 41.1427 211319 75734.1 957.024 2935.31 80.0323 -nan -nan -nan -nan 104 31745 44 0 -nan -nan -nan -nan -nan 53861 35
-74.2283 -72.7081 39.2354 41.1851 1.47057e+08 2.57012e+07 412233 7524.75 197834 7857.29 43887.9 31472.9 -nan 251391 1.05272e+07 193322 42.1664 1.02218e+07 17163.2 0 10002.9 5715.97 4.34843e+07 31
-73.2344 -72.7042 40.1255 41.6099 8.94958e+06 2.87014e+06 43939 70554.9 19911 1415 19814 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.50438e+06 114
-71.2183 -69.7979 40.9791 42.0596 9.7125e+08 1.18631e+08 2.76378e+06 20637.7 1.49791e+06 49169.4 1.44767e+06 8200.52 227391 2.17839e+06 5.59627e+07 1.74824e+06 390.007 5.16733e+07 81914.2 17.9271 41885.9 21006.8 2.86573e+08 81
-73.5636 -72.4096 40.5661 40.7424 197434 71996.8 416.333 1829.45 104 423 100 57 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 45230 15
-72.185 -71.6181 40.2104 41.038 243548 80420.9 447.527 1859 67.7506 442 234 56 155 -nan -nan -nan -nan -nan -nan -nan -nan -nan 66125 9
-73.1191 -72.438 40.8396 42.7208 4.95671e+08 6.76446e+07 1.54992e+06 11145.2 855989 25315.6 779300 2263.96 117778 1.1542e+06 2.80982e+07 923223 141.893 2.89469e+07 49631.3 0 21386.6 13339.3 1.4628e+08 28
-71.4032 -71.2806 40.108 41.3794 250365 97361.1 988 1844.44 255 410 255 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 65811 43
-72.5877 -72.2549 39.7794 40.9661 281522 110002 942 2049.94 263 411 263 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 80349 2
-71.8475 -71.4875 40.3057 42.2599 1.1508e+08 4.04675e+07 556460 886821 205609 40475.6 242553 3546.24 42763.4 433817 1.01286e+07 335765 33.5806 1.04834e+07 16921.3 64.8508 6997.4 -nan 5.33274e+07 12
-72.434 -70.7957 40.6348 42.1682 7.16811e+08 1.13006e+08 2.1827e+06 282922 1.06492e+06 44092.2 1.15512e+06 272.623 120270 1.71075e+06 4.0685e+07 1.30257e+06 375.414 4.06052e+07 64961.1 96.6385 44340.8 38304.3 2.14105e+08 17
-72.6201 -72.0591 40.1714 40.6014 254245 72464 527.325 1495 67.2309 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 8 5 49358 65
-73.4311 -72.5268 40.1254 41.0824 619153 133546 1083.77 1505 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 13 7 168909 81
-72.8811 -71.1714 39.3003 41.1494 235414 100781 509.423 1376 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 8 2 55931 30
-72.2339 -72.0029 40.7922 41.8491 348537 138054 682.764 1339 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 12 8 89074 13
