5606 5681 67557 67583 8.38634e+06 3.09809e+06 37716.5 2814.3 91491 5059 91498 85.0718 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.76901e+06 
248 347 62948 62958 2.27213e+08 7.49466e+06 205606 7104.57 95428.7 3136.55 94595.8 67.1615 20566.2 222763 4.74444e+06 127394 9.47261 3.04547e+06 25297.3 0 25045.1 22197.9 6.71281e+07 
6295 6309 62296 62303 1.83718e+08 6.09907e+06 165842 5655.09 81289.3 3989.93 79362.3 -nan 38647.2 190395 3.64303e+06 99207.1 20.354 2.44637e+06 20287 0 19761.8 18108.9 5.42582e+07 
1678 1710 64184 64224 2.23035e+08 7.51453e+06 197608 7741.31 92335.6 3508.69 93010.8 161.195 19398.7 195422 3.07916e+06 111752 8.26351 3.22054e+06 25802 39.2721 26365.1 22047.1 6.6091e+07 
7387 7421 64864 64923 1.89859e+08 6.44155e+06 167685 7068.91 80743.4 3097.41 80780 57.1435 15811 160294 2.62741e+06 95847.7 193.219 2.90038e+06 -nan 0 22634.2 19385 5.7108e+07 
6600 6653 64511 64593 1.85999e+08 6.85343e+06 180320 11350.3 131620 13478.5 94364.3 329.937 19373.1 169299 2.74685e+06 98360.4 0 2.75353e+06 22216 0 21340.8 19322.5 5.48999e+07 
7564 7577 69988 70064 1.88064e+08 1.3605e+07 206803 10586 99729.7 4975.92 123287 55.5785 23975.8 180158 2.71732e+06 99546.3 27.7771 2.85148e+06 23411.3 60.9414 -nan 18031.3 5.55442e+07 
4368 4418 65688 65720 2.10968e+08 7.03527e+06 185928 8087.48 90844.7 4178.75 94560.5 66.2345 18824.1 183377 2.97523e+06 109401 7.78839 3.05126e+06 23626.9 49.4007 23749.3 20378.7 6.22968e+07 
7583 7673 67506 67526 2.12473e+08 7.10557e+06 187581 5836.95 89685.8 3285.01 89596.5 62.8553 17884.1 179088 2.85509e+06 127828 321.46 4.47754e+06 22881.2 7.85348 23436.7 20530.4 6.28259e+07 
6091 6191 68054 68076 2.23168e+08 7.56249e+06 247264 14437.5 110895 8616.73 94381.2 70.0197 19463.2 197372 3.09568e+06 110065 16.4706 3.03124e+06 25047.7 0 24867.5 22468.3 6.58659e+07 
3907 3993 60495 60585 1.89368e+08 1.53409e+07 206338 13703.3 90441.1 3925.14 76571.9 55.9185 15553.6 158669 2.54407e+06 89923.9 10.4805 2.59648e+06 20673.7 45.7472 -nan 17075.6 5.58852e+07 
6458 6480 67200 67299 2.12132e+08 7.00402e+06 188868 8046.4 92289.7 3809.83 89980.7 63.0164 17737.9 177805 2.93903e+06 103888 170.101 2.95038e+06 28176.4 0 23546.1 21196 6.29832e+07 
233 261 64943 65036 2.46574e+08 7.8816e+06 212344 7250.81 102418 4697.19 103626 310.938 26740.2 224145 4.46071e+06 116561 22.7669 3.26939e+06 27043.7 0 27670.4 24791 7.2842e+07 
4828 4879 60692 60764 1.82464e+08 6.25637e+06 167169 6941.48 80297.9 5347.39 -nan 759.153 27056.2 178116 3.4016e+06 89881 0 2.4021e+06 19997.8 0 20151.3 18512.5 5.3878e+07 
1747 1809 64561 64578 2.33666e+08 7.91391e+06 245342 13949.5 114910 8965.28 100928 68.9983 20350.6 197077 3.1616e+06 110446 8.62361 3.15595e+06 26272.7 0 25865.5 23025.1 6.89646e+07 
6694 6781 68133 68165 1.96486e+08 1.33018e+07 222119 10912.2 102574 3539.41 93618.5 58.0416 19009 187342 3.04364e+06 107330 10.8787 3.15701e+06 25139 56.6616 26013.6 -nan 5.80035e+07 
6853 6928 61005 61052 1.62988e+08 5.71887e+06 148519 6078.45 70025.5 3084.8 71092.4 48.4551 15115.5 151041 2.52714e+06 85473.4 -nan -nan 26586 0 19744.1 17622.4 4.84243e+07 
5807 5839 68410 68485 1.66437e+08 5.7705e+06 300903 6021.84 178604 10559 153146 -nan 78614 197546 3.90653e+06 97792.3 21.5093 2.20621e+06 18517 0 18298.5 15920.3 4.91515e+07 
2187 2239 65640 65661 2.40033e+08 7.60439e+06 206678 13159.1 115356 9749.33 120050 79.7268 20511.3 197193 3.10124e+06 112408 4.42859 3.20919e+06 26256.3 0 25689.6 23385.8 7.08451e+07 
2061 2134 67504 67520 2.56671e+08 7.39744e+06 245527 23783 122758 9155.66 109677 80.5247 22043.2 207533 3.40771e+06 120578 4.73555 3.45654e+06 29014.8 0 26220 24301.9 7.57563e+07 
8474 8493 63045 63127 1.77608e+08 3.82874e+07 133829 77798.6 108120 10781.3 86888.4 55.7114 15381.7 149515 2.386e+06 86424.5 6.55346 2.34906e+06 19800.8 23.9103 -nan 17387.1 5.24048e+07 
6449 6511 67232 67260 2.14075e+08 7.02747e+06 185092 6670.9 91023.9 3882.77 92074 63.5881 18695.6 183350 2.953e+06 105332 3.97306 3.04145e+06 24788.3 50.4234 23626.2 20563.8 6.35531e+07 
913 990 60089 60138 2.05232e+08 6.82894e+06 182943 5838.54 88354.4 12716.7 116780 279.716 23794.2 176465 2.79825e+06 96959.8 3.78772 2.73732e+06 22747.3 3.78719 22846.4 20599.1 6.05895e+07 
546 631 62527 62549 2.21915e+08 7.186e+06 192403 6209.33 91737.1 3288.31 93068.1 73.8338 20225.1 204853 4.9926e+06 131809 22.6947 4.18443e+06 26826.4 0 24328.2 21646.6 6.55882e+07 
39 46 69430 69506 2.82721e+08 9.39761e+06 252657 11800.3 119245 3593.44 115395 88.785 29845.9 255869 4.63464e+06 141619 139.766 3.65844e+06 32099.4 5.22077 31328.7 28603.2 8.35265e+07 
2174 2217 64189 64285 2.26811e+08 7.16665e+06 201721 4714.78 95310.7 9961.96 112457 377.416 27224.9 197683 3.13174e+06 109578 20.9336 3.07738e+06 25237 0 24597.4 21825.9 6.697e+07 
1945 1992 63265 63290 2.10304e+08 7.08615e+06 191595 4401.81 90308.8 4140.9 88948.1 189.302 33743.8 231136 4.83024e+06 124243 23.3058 3.11272e+06 25928 0 24954.3 21681.9 6.21319e+07 
3892 3915 69962 69963 2.55495e+08 8.19974e+06 221701 5861.52 109730 4771.99 123450 387.209 29002.8 245720 3.63467e+06 126716 9.43457 3.51143e+06 28743.8 0 28221.5 25003.1 7.5468e+07 
4586 4652 63263 63361 2.02714e+08 6.54014e+06 173427 6864.81 82139.3 2634.92 81961.8 63.6909 16978.7 172186 2.80506e+06 138362 25.2723 4.65731e+06 22702.4 0 21968.7 19357.1 5.99112e+07 
1426 1509 66897 66969 2.535e+08 7.97737e+06 213140 10051.9 103604 4257.53 103631 74.99 20592.8 205933 3.37963e+06 124112 4.6851 4.79437e+06 30458.6 23.6963 26661.7 24753.3 7.49491e+07 
5149 5152 67027 67091 2.24927e+08 1.21525e+07 227695 10908.7 94031.9 3818.55 91543.4 66.4198 18681.5 186389 2.96944e+06 105900 12.4486 3.0732e+06 25237.3 37.4349 27219.9 23385.5 6.63833e+07 
2403 2459 66324 66372 2.36982e+08 8.13512e+06 253147 12927.7 116581 8877.08 101201 74.3489 21193.1 203627 3.22024e+06 113520 13.1174 3.19773e+06 27385 0 26527.1 23850.2 6.99444e+07 
608 692 63848 63867 2.37961e+08 1.33056e+07 235509 15289.6 97455.2 4610.12 94543.3 70.2572 20527.1 206719 3.35099e+06 117116 21.9511 3.11972e+06 25735.3 0 28069.2 23573.1 7.02262e+07 
729 808 66618 66659 2.54588e+08 1.28484e+07 256464 12392.6 109951 5041.38 104391 75.1732 21916.2 221475 3.46819e+06 120590 23.4835 3.30148e+06 27969.5 0 29245.9 25349.7 7.51369e+07 
